id,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,amenities,price_nok,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,is_shared_bathroom,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,response_time_a few days or more,response_time_no information,response_time_within a day,response_time_within a few hours,response_time_within an hour,located_in_Alna,located_in_Bjerke,located_in_Frogner,located_in_Gamle Oslo,located_in_Grorud,located_in_Grünerløkka,located_in_Marka,located_in_Nordre Aker,located_in_Nordstrand,located_in_Sagene,located_in_Sentrum,located_in_St. Hanshaugen,located_in_Stovner,located_in_Søndre Nordstrand,located_in_Ullern,located_in_Vestre Aker,located_in_Østensjø,missing_rating_review_data
42932,187463,2010-08-01,1.0,1.0,1,2,2,1,1,59.91201,10.72455,3,1.0,2.0,3.0,"[""Paid parking on premises"", ""Kitchen"", ""Cooking basics"", ""Heating"", ""First aid kit"", ""Hair dryer"", ""City skyline view"", ""Smoke alarm"", ""BBQ grill"", ""Private patio or balcony"", ""Dishwasher"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Room-darkening shades"", ""Free street parking"", ""Outdoor kitchen"", ""Wifi"", ""Beach access \u2013 Beachfront"", ""Refrigerator"", ""60 inch HDTV with Netflix, premium cable, standard cable"", ""Hot tub"", ""Smart lock"", ""Bathtub"", ""Luggage dropoff allowed"", ""Hangers"", ""Outdoor dining area"", ""Oven"", ""Self check-in"", ""Children\u2019s dinnerware"", ""Essentials"", ""Shared backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Hot water"", ""Iron"", ""Dishes and silverware"", ""Waterfront"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Fire extinguisher"", ""Microwave""]",3400.0,4,1000,4,4,1000,1000,4.0,1000.0,1,0,1,22,297,52,2,1,2013-09-02,2024-06-15,4.9,4.96,4.98,4.94,4.96,4.96,4.85,0,2,2,0,0,0.39,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71725,368229,2011-01-30,1.0,0.67,0,1,1,1,1,59.90795,10.77987,2,1.0,1.0,2.0,"[""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Ethernet connection"", ""Wine glasses"", ""Heating"", ""First aid kit"", ""Elevator"", ""Hair dryer"", ""Smoke alarm"", ""Stainless steel oven"", ""Pets allowed"", ""Safe"", ""Hot water kettle"", ""Toaster"", ""Coffee"", ""Cleaning products"", ""BBQ grill"", ""Drying rack for clothing"", ""Electric stove"", ""Dishwasher"", ""Cleaning available during stay"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Baking sheet"", ""Pocket wifi"", ""Free street parking"", ""Wifi"", ""Single level home"", ""Freezer"", ""Sun loungers"", ""Extra pillows and blankets"", ""Clothing storage: closet and wardrobe"", ""Refrigerator"", ""Body soap"", ""Luggage dropoff allowed"", ""Hangers"", ""Shared patio or balcony"", ""Outdoor dining area"", ""Children\u2019s dinnerware"", ""Dining table"", ""Essentials"", ""Washer"", ""Shared backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Hot water"", ""Barbecue utensils"", ""Bed linens"", ""Iron"", ""Dishes and silverware"", ""Outdoor furniture"", ""Blender"", ""Fire extinguisher"", ""Books and reading material"", ""Shower gel"", ""Microwave""]",572.0,14,730,14,14,730,730,14.0,730.0,1,0,0,6,281,56,3,0,2011-02-15,2024-05-15,4.75,4.69,4.78,4.98,4.94,4.71,4.8,0,1,0,1,0,0.34,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85902,250159,2010-10-01,1.0,0.96,1,3,3,1,1,59.91074,10.77232,4,1.0,2.0,3.0,"[""Kitchen"", ""Cooking basics"", ""Wine glasses"", ""Heating"", ""First aid kit"", ""Hair dryer"", ""Soap conditioner"", ""Smoke alarm"", ""TV"", ""Stove"", ""Keypad"", ""Safe"", ""Hot water kettle"", ""Toaster"", ""Coffee"", ""Cleaning products"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishwasher"", ""Shampoo"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Coffee maker: french press, Nespresso, pour-over coffee"", ""Soap body soap"", ""Wifi"", ""Baking sheet"", ""Freezer"", ""Refrigerator"", ""Hangers"", ""Oven"", ""Self check-in"", ""VIFA Bluetooth sound system"", ""Indoor fireplace"", ""Dining table"", ""Essentials"", ""Washer"", ""Shared backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Hot water"", ""Bed linens"", ""Iron"", ""Paid street parking off premises"", ""Dishes and silverware"", ""Outdoor furniture"", ""Fire extinguisher"", ""Books and reading material"", ""Shower gel"", ""Exercise equipment: stationary bike, yoga mat"", ""Board games""]",1929.0,3,21,2,7,21,90,3.3,24.2,1,9,10,10,26,79,5,0,2011-05-28,2024-01-23,4.77,4.77,4.61,4.73,4.83,4.49,4.71,0,2,1,1,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123041,250159,2010-10-01,1.0,0.96,1,3,3,1,1,59.91253,10.77205,2,1.0,1.0,2.0,"[""Paid washer \u2013 In unit"", ""Kitchen"", ""Cooking basics"", ""Wine glasses"", ""Heating"", ""First aid kit"", ""Hair dryer"", ""Smoke alarm"", ""Stove"", ""Keypad"", ""Safe"", ""Hot water kettle"", ""Toaster"", ""Coffee"", ""Cleaning products"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishwasher"", ""Shampoo"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Coffee maker"", ""Baking sheet"", ""Wifi"", ""Freezer"", ""Refrigerator"", ""Body soap"", ""Backyard"", ""Hangers"", ""Oven"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Conditioner"", ""Iron"", ""Paid street parking off premises"", ""Dishes and silverware"", ""Fire extinguisher"", ""Shower gel"", ""Self check-in""]",736.0,1,40,1,2,40,90,1.0,40.2,1,0,1,1,1,235,4,0,2011-06-16,2023-09-27,4.82,4.85,4.73,4.85,4.85,4.61,4.76,0,2,1,1,0,1.48,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149776,714768,2011-06-18,1.0,0.67,0,2,2,1,1,59.92398,10.74787,2,1.0,1.0,1.0,"[""Cooking basics"", ""Garden view"", ""Heating"", ""Patio or balcony"", ""Hair dryer"", ""City skyline view"", ""Smoke alarm"", ""Stove"", ""Dryer"", ""Dishwasher"", ""Shampoo"", ""Dedicated workspace"", ""Wifi"", ""Park view"", ""Refrigerator"", ""Host greets you"", ""Backyard"", ""Luggage dropoff allowed"", ""Hangers"", ""Oven"", ""Essentials"", ""Washer"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Hot water"", ""Iron"", ""Dishes and silverware"", ""Private entrance"", ""Fire extinguisher"", ""Microwave""]",1029.0,5,365,5,5,365,365,5.0,365.0,1,28,58,88,363,43,0,0,2011-07-16,2023-04-23,4.9,4.84,5.0,4.98,4.95,4.88,4.83,0,2,0,2,0,0.27,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165218,787976,2011-07-07,0.0,0.0,0,1,2,1,0,59.9375,10.76554,2,1.0,1.0,1.0,"[""Kitchen"", ""Wine glasses"", ""Heating"", ""First aid kit"", ""Shared backyard \u2013 Not fully fenced"", ""Elevator"", ""Smoke alarm"", ""Safe"", ""Hot water kettle"", ""Private patio or balcony"", ""HDTV with Chromecast"", ""Drying rack for clothing"", ""Electric stove"", ""Dishwasher"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Wifi"", ""Refrigerator"", ""Host greets you"", ""Outdoor dining area"", ""Oven"", ""Indoor fireplace"", ""Dining table"", ""Essentials"", ""Washer"", ""Long term stays allowed"", ""Hot water"", ""Record player"", ""Bed linens"", ""BBQ grill: charcoal, wood-burning"", ""Sound system with aux"", ""Paid street parking off premises"", ""Dishes and silverware"", ""Outdoor furniture"", ""Fire extinguisher"", ""Microwave"", ""Board games""]",600.0,2,30,2,2,30,30,2.0,30.0,1,5,14,14,14,21,0,0,2011-08-22,2022-08-27,4.9,4.75,4.75,4.8,4.8,4.65,4.75,1,1,0,1,0,0.13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174372,114189,2010-04-26,1.0,1.0,0,2,2,1,1,59.93024,10.75964,6,1.0,5.0,3.0,"[""Air conditioning"", ""Kitchen"", ""Cooking basics"", ""Heating"", ""First aid kit"", ""Patio or balcony"", ""Smoke alarm"", ""TV"", ""Game console"", ""Stove"", ""Baby safety gates"", ""Pets allowed"", ""BBQ grill"", ""Outlet covers"", ""Dryer"", ""Table corner guards"", ""Dishwasher"", ""Shampoo"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Room-darkening shades"", ""Wifi"", ""Refrigerator"", ""Hot tub"", ""Bathtub"", ""Backyard"", ""Oven"", ""Children\u2019s dinnerware"", ""Essentials"", ""Washer"", ""Window guards"", ""EV charger"", ""Long term stays allowed"", ""High chair"", ""Baby bath"", ""Free parking on premises"", ""Crib"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Changing table"", ""Fire extinguisher"", ""Microwave""]",9494.0,100,365,100,100,365,365,100.0,365.0,1,30,60,90,365,35,0,0,2011-07-25,2014-10-26,4.87,4.88,4.94,4.79,4.88,4.79,4.88,1,2,2,0,0,0.22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
256459,1347737,2011-10-29,1.0,0.78,1,2,4,1,1,59.84704,10.7778,6,1.0,2.0,3.0,"[""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Wine glasses"", ""Garden view"", ""Heating"", ""Clothing storage: closet, wardrobe, and dresser"", ""First aid kit"", ""BBQ grill: gas"", ""Boat slip"", ""Hair dryer"", ""City skyline view"", ""Smoke alarm"", ""Stainless steel oven"", ""Private outdoor kitchen"", ""Stainless steel stove"", ""Beach essentials"", ""Safe"", ""Hot water kettle"", ""Coffee"", ""Cleaning products"", ""Private patio or balcony"", ""Long term stays allowed"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Room-darkening shades"", ""Baking sheet"", ""Free street parking"", ""Bay view"", ""Wifi"", ""Beach access \u2013 Beachfront"", ""Freezer"", ""Extra pillows and blankets"", ""Sea view"", ""Refrigerator"", ""Body soap"", ""Bathtub"", ""Kayak"", ""Luggage dropoff allowed"", ""Hangers"", ""Outdoor dining area"", ""Mini fridge"", ""Dining table"", ""Essentials"", ""Exercise equipment"", ""Harbor view"", ""Bluetooth sound system"", ""Beach view"", ""Hot water"", ""Barbecue utensils"", ""Laundromat nearby"", ""Hammock"", ""Bed linens"", ""TV with standard cable"", ""Resort access"", ""Conditioner"", ""Iron"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dishes and silverware"", ""Waterfront"", ""Free parking on premises"", ""Outdoor furniture"", ""Fire extinguisher"", ""Private backyard \u2013 Fully fenced"", ""Shower gel"", ""Microwave""]",1076.0,1,365,1,1,365,365,1.0,365.0,1,6,9,30,298,387,46,8,2012-10-09,2024-06-27,4.96,4.96,4.98,4.96,4.99,4.88,4.89,0,2,2,0,0,2.71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
275790,793479,2011-07-08,1.0,0.67,1,1,1,1,1,59.93061,10.75375,2,1.0,1.0,1.0,"[""Paid parking on premises"", ""Kitchen"", ""Cooking basics"", ""Ethernet connection"", ""Garden view"", ""Wine glasses"", ""First aid kit"", ""Shared backyard \u2013 Not fully fenced"", ""Paid parking off premises"", ""Hair dryer"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""BBQ grill"", ""Central heating"", ""Cleaning products"", ""Private patio or balcony"", ""Electrolux electric stove"", ""Drying rack for clothing"", ""Dishwasher"", ""Shampoo"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Baking sheet"", ""Outdoor kitchen"", ""Wifi"", ""Single level home"", ""Outdoor playground"", ""Freezer"", ""Extra pillows and blankets"", ""Clothing storage: closet and wardrobe"", ""Refrigerator"", ""Host greets you"", ""Body soap"", ""HDTV with Apple TV"", ""Radiant heating"", ""Luggage dropoff allowed"", ""Hangers"", ""Outdoor dining area"", ""Oven"", ""Essentials"", ""Exercise equipment"", ""Rice maker"", ""EV charger"", ""Hot water"", ""Long term stays allowed"", ""Bed linens"", ""Iron"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Blender"", ""Fire extinguisher"", ""Books and reading material"", ""Microwave""]",1053.0,13,1125,13,13,1125,1125,13.0,1125.0,1,11,16,31,298,21,6,0,2012-01-10,2024-05-12,4.86,4.81,4.76,5.0,4.9,4.86,4.81,0,1,1,0,0,0.14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
314213,1614549,2012-01-16,1.0,0.94,1,3,3,1,1,59.92085,10.74995,1,1.5,1.0,1.0,"[""Portable fans"", ""Portable heater"", ""Kitchen"", ""Cooking basics"", ""Ethernet connection"", ""Wine glasses"", ""Paid parking off premises"", ""Hair dryer"", ""Washer \u2013\u00a0In unit"", ""Dryer \u2013\u00a0In unit"", ""Smoke alarm"", ""Stove"", ""Pets allowed"", ""Hot water kettle"", ""BBQ grill"", ""Coffee"", ""Cleaning products"", ""Dishwasher"", ""Shampoo"", ""Dedicated workspace"", ""Wifi"", ""Freezer"", ""Extra pillows and blankets"", ""Refrigerator"", ""Host greets you"", ""Body soap"", ""Bathtub"", ""Radiant heating"", ""Luggage dropoff allowed"", ""TV with Netflix"", ""Hangers"", ""Oven"", ""Coffee maker: pour-over coffee"", ""Essentials"", ""Shared backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Hot water"", ""Bed linens"", ""Conditioner"", ""Iron"", ""Dishes and silverware"", ""Blender"", ""Fire extinguisher"", ""Books and reading material"", ""Shower gel""]",571.0,5,365,5,5,365,365,5.0,365.0,1,0,12,42,317,126,10,1,2012-02-20,2024-06-21,4.79,4.73,4.75,4.89,4.92,4.85,4.76,0,2,0,2,0,0.84,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
